"","label","text"
"379","ham","Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going"
"382","ham","I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
"383","ham","Yeah sure, give me a couple minutes to track down my wallet"
"384","ham","Hey leave it. not a big deal:-) take care."
"385","ham","Hey i will be late ah... Meet you at 945+"
"386","spam","Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
"388","ham","Customer place i will call you."
"390","spam","4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt"
"393","ham","Hey so this sat are we going for the intro pilates only? Or the kickboxing too?"
"395","ham","Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down"
"402","spam","FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop"
"403","ham","Dear how is chechi. Did you talk to her"
"405","ham","None of that's happening til you get here though"
"406","ham","Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour"
"411","ham","Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com"
"412","ham","Come by our room at some point so we can iron out the plan for this weekend"
"413","ham","Cos i want it to be your thing"
"416","spam","100 dating service cal;l 09064012103 box334sk38ch"
"417","ham","Whatsup there. Dont u want to sleep"
"418","ham","Alright i have a new goal now"
"419","spam","FREE entry into our £250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk"
"421","spam","Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p"
"423","spam","Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p"
"425","spam","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only"
"430","ham","7 at esplanade.. Do ü mind giving me a lift cos i got no car today.."
"434","spam","Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX"
"437","ham","The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?"
"439","ham","How long does applebees fucking take"
"441","ham","But i have to. I like to have love and arrange."
"443","ham","You were supposed to wake ME up &gt;:("
"444","ham","Oic... I saw him too but i tot he din c me... I found a group liao..."
"449","ham","I wont get concentration dear you know you are my mind and everything :-)"
"451","ham","10 min later k..."
"452","ham","hanks lotsly!"
"456","spam","Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
"460","ham","1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
"464","spam","UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
"465","ham","Sorry, I'll call later ok bye"
"467","ham","great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)"
"472","spam","okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"
"474","ham","Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
"475","spam","Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p"
"476","ham","Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:)"
"477","ham","Ok I'm gonna head up to usf in like fifteen minutes"
"478","ham","Love you aathi..love u lot.."
"482","ham","Almost there, see u in a sec"
"484","ham","Watching tv lor..."
"488","spam","FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
"489","ham","Dear reached railway. What happen to you"
"490","ham","Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
"491","ham","I think i've fixed it can you send a test message?"
"492","ham","Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
"493","spam","Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
"503","ham","When can ü come out?"
"504","ham","Check with nuerologist."
"506","spam","+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm"
"507","ham","No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat."
"508","ham","Maybe westshore or hyde park village, the place near my house?"
"516","spam","You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+"
"518","spam","Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE"
"519","spam","Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz"
"520","ham","That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri."
"523","ham","Shall i come to get pickle"
"524","ham","Were gonna go get some tacos"
"526","spam","URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
"528","spam","Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
"530","spam","You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750"
"532","spam","PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04"
"536","ham","I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
"537","ham","Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
"538","ham","Probably gonna be here for a while, see you later tonight &lt;)"
"542","spam","from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop"
"546","ham","This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed"
"547","ham","Then any special there?"
"551","ham","Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time."
"553","ham","Hurry up, I've been weed-deficient for like three days"
"557","ham","O. Well uv causes mutations. Sunscreen is like essential thesedays"
"561","ham","Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.."
"565","spam","GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm"
"568","ham","Oooh bed ridden ey? What are YOU thinking of?"
"573","ham","Do you know where my lab goggles went"
"577","spam","You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
"580","spam","our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
"584","spam","We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow"
"586","ham","So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream"
"587","ham","Tell them u have a headache and just want to use 1 hour of sick time."
"588","ham","I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
"590","ham","Ya srsly better than yi tho"
"592","spam","For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
"593","spam","You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
"594","spam","PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04"
"599","spam","You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!"
"605","ham","Be happy there. I will come after noon"
"608","spam","XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867"
"612","spam","22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222"
"614","ham","I have many dependents"
"616","ham","I called and said all to him:)then he have to choose this future."
"618","ham","He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor."
"620","ham","I come n pick ü up... Come out immediately aft ur lesson..."
"623","ham","Good words.... But words may leave u in dismay many times."
"625","ham","sorry, no, have got few things to do. may be in pub later."
"627","ham","Haha good to hear, I'm officially paid and on the market for an 8th"
"629","ham","Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short."
"630","spam","New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693"
"631","spam","Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award."
"635","ham","Got it. Seventeen pounds for seven hundred ml – hope ok."
"636","spam","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
"637","ham","Me n him so funny..."
"642","ham","Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
"646","ham","Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week"
"648","ham","Do you mind if I ask what happened? You dont have to say if it is uncomfortable."
"649","spam","PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04"
"651","spam","You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
"659","ham","You will be in the place of that man"
"661","spam","88800 and 89034 are premium phone services call 08718711108"
"668","ham","Carlos'll be here in a minute if you still need to buy"
"673","spam","SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
"674","spam","Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16"
"675","ham","Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
"678","ham","Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?"
"684","ham","Is xy going 4 e lunch?"
"685","spam","Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+"
"686","ham","I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway."
"687","ham","Have you finished work yet? :)"
"691","spam","<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you."
"699","ham","meet you in corporation st outside gap … you can see how my mind is working!"
"701","ham","K..u also dont msg or reply to his msg.."
"702","ham","How much r ü willing to pay?"
"705","ham","Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
"706","ham","True dear..i sat to pray evening and felt so.so i sms'd you in some time..."
"710","spam","To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
"711","spam","4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs"
"714","spam","08714712388 between 10am-7pm Cost 10p"
"715","ham","Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
"716","ham","He also knows about lunch menu only da. . I know"
"718","spam","+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50"
"719","ham","Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748"
"720","spam","You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm"
"722","ham","Oh is it? Send me the address"
"723","ham","S'fine. Anytime. All the best with it."
"725","ham","Ya even those cookies have jelly on them"
"732","spam","Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123"
"739","spam","Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg"
"740","ham","Wish i were with you now!"
"749","spam","U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795"
"751","ham","By monday next week. Give me the full gist"
